Block數量,1000
Thread數量,10
預期模擬次數,100000000
實際模擬次數,99779756
執行時間(ms),2657
元素個數,26
轉盤個數,3
排列組合總數,17576
B-G-V,5672,0.00568452%
B-G-W,5538,0.00555022%
B-G-X,5560,0.00557227%
B-G-Y,5773,0.00578574%
B-G-Z,5603,0.00561537%
B-H-A,5681,0.00569354%
B-H-B,5780,0.00579276%
B-H-C,5651,0.00566347%
B-H-D,5607,0.00561938%
B-H-E,5760,0.00577271%
B-H-F,5727,0.00573964%
B-H-G,5717,0.00572962%
B-H-H,5612,0.00562439%
B-H-I,5681,0.00569354%
B-H-J,5616,0.0056284%
B-H-K,5612,0.00562439%
B-H-L,5615,0.00562739%
B-H-M,5691,0.00570356%
B-H-N,5790,0.00580278%
B-H-O,5592,0.00560434%
B-H-P,5630,0.00564243%
B-H-Q,5648,0.00566047%
B-H-R,5680,0.00569254%
B-H-S,5706,0.00571859%
B-H-T,5685,0.00569755%
B-H-U,5733,0.00574565%
B-H-V,5718,0.00573062%
B-H-W,5655,0.00566748%
B-H-X,5824,0.00583686%
B-H-Y,5690,0.00570256%
B-H-Z,5624,0.00563641%
B-I-A,5700,0.00571258%
B-I-B,5605,0.00561737%
B-I-C,5720,0.00573263%
B-I-D,5685,0.00569755%
B-I-E,5771,0.00578374%
B-I-F,5669,0.00568151%
B-I-G,5484,0.0054961%
B-I-H,5707,0.0057196%
B-I-I,5801,0.0058138%
B-I-J,5668,0.00568051%
B-I-K,5590,0.00560234%
B-I-L,5741,0.00575367%
B-I-M,5713,0.00572561%
B-I-N,5571,0.0055833%
B-I-O,5485,0.00549711%
B-I-P,5666,0.00567851%
B-I-Q,5807,0.00581982%
B-I-R,5557,0.00556927%
B-I-S,5649,0.00566147%
B-I-T,5689,0.00570156%
B-I-U,5661,0.0056735%
B-I-V,5612,0.00562439%
B-I-W,5607,0.00561938%
B-I-X,5752,0.0057647%
B-I-Y,5759,0.00577171%
B-I-Z,5637,0.00564944%
B-J-A,5613,0.00562539%
B-J-B,5701,0.00571358%
B-J-C,5707,0.0057196%
B-J-D,5735,0.00574766%
B-J-E,5774,0.00578674%
B-J-F,5826,0.00583886%
B-J-G,5635,0.00564744%
B-J-H,5659,0.00567149%
B-J-I,5748,0.00576069%
B-J-J,5705,0.00571759%
B-J-K,5647,0.00565946%
B-J-L,5678,0.00569053%
B-J-M,5569,0.00558129%
B-J-N,5601,0.00561336%
B-J-O,5747,0.00575969%
B-J-P,5753,0.0057657%
B-J-Q,5750,0.00576269%
B-J-R,5744,0.00575668%
B-J-S,5775,0.00578775%
B-J-T,5648,0.00566047%
B-J-U,5587,0.00559933%
B-J-V,5579,0.00559131%
B-J-W,5685,0.00569755%
B-J-X,5798,0.0058108%
B-J-Y,5818,0.00583084%
B-J-Z,5662,0.0056745%
B-K-A,5729,0.00574165%
B-K-B,5651,0.00566347%
B-K-C,5684,0.00569655%
B-K-D,5780,0.00579276%
B-K-E,5519,0.00553118%
B-K-F,5644,0.00565646%
B-K-G,5825,0.00583786%
B-K-H,5724,0.00573663%
B-K-I,5626,0.00563842%
B-K-J,5586,0.00559833%
B-K-K,5625,0.00563742%
B-K-L,5650,0.00566247%
B-K-M,5669,0.00568151%
B-K-N,5750,0.00576269%
B-K-O,5775,0.00578775%
B-K-P,5670,0.00568252%
B-K-Q,5697,0.00570957%
B-K-R,5585,0.00559733%
B-K-S,5644,0.00565646%
B-K-T,5627,0.00563942%
B-K-U,5735,0.00574766%
B-K-V,5734,0.00574666%
B-K-W,5612,0.00562439%
B-K-X,5588,0.00560033%
B-K-Y,5734,0.00574666%
B-K-Z,5729,0.00574165%
B-L-A,5776,0.00578875%
B-L-B,5536,0.00554822%
B-L-C,5725,0.00573764%
B-L-D,5639,0.00565145%
B-L-E,5619,0.0056314%
B-L-F,5663,0.0056755%
B-L-G,5659,0.00567149%
B-L-H,5659,0.00567149%
B-L-I,5710,0.0057226%
B-L-J,5725,0.00573764%
B-L-K,5579,0.00559131%
B-L-L,5756,0.00576871%
B-L-M,5714,0.00572661%
B-L-N,5681,0.00569354%
B-L-O,5681,0.00569354%
B-L-P,5603,0.00561537%
B-L-Q,5633,0.00564543%
B-L-R,5718,0.00573062%
B-L-S,5667,0.00567951%
B-L-T,5587,0.00559933%
B-L-U,5675,0.00568753%
B-L-V,5661,0.0056735%
B-L-W,5680,0.00569254%
B-L-X,5616,0.0056284%
B-L-Y,5647,0.00565946%
B-L-Z,5733,0.00574565%
B-M-A,5533,0.00554521%
B-M-B,5630,0.00564243%
B-M-C,5742,0.00575467%
B-M-D,5624,0.00563641%
B-M-E,5709,0.0057216%
B-M-F,5655,0.00566748%
B-M-G,5739,0.00575167%
B-M-H,5628,0.00564042%
B-M-I,5844,0.0058569%
B-M-J,5633,0.00564543%
B-M-K,5662,0.0056745%
B-M-L,5659,0.00567149%
B-M-M,5679,0.00569154%
B-M-N,5726,0.00573864%
B-M-O,5661,0.0056735%
B-M-P,5717,0.00572962%
B-M-Q,5747,0.00575969%
B-M-R,5798,0.0058108%
B-M-S,5716,0.00572862%
B-M-T,5790,0.00580278%
B-M-U,5800,0.0058128%
B-M-V,5692,0.00570456%
B-M-W,5630,0.00564243%
B-M-X,5692,0.00570456%
B-M-Y,5615,0.00562739%
B-M-Z,5713,0.00572561%
B-N-A,5677,0.00568953%
B-N-B,5590,0.00560234%
B-N-C,5674,0.00568652%
B-N-D,5486,0.00549811%
B-N-E,5660,0.00567249%
B-N-F,5782,0.00579476%
B-N-G,5674,0.00568652%
B-N-H,5728,0.00574064%
B-N-I,5826,0.00583886%
B-N-J,5755,0.0057677%
B-N-K,5805,0.00581781%
B-N-L,5637,0.00564944%
B-N-M,5763,0.00577572%
B-N-N,5752,0.0057647%
B-N-O,5509,0.00552116%
B-N-P,5664,0.0056765%
B-N-Q,5702,0.00571459%
B-N-R,5707,0.0057196%
B-N-S,5613,0.00562539%
B-N-T,5545,0.00555724%
B-N-U,5613,0.00562539%
B-N-V,5662,0.0056745%
B-N-W,5642,0.00565445%
B-N-X,5731,0.00574365%
B-N-Y,5586,0.00559833%
B-N-Z,5739,0.00575167%
B-O-A,5675,0.00568753%
B-O-B,5821,0.00583385%
B-O-C,5755,0.0057677%
B-O-D,5628,0.00564042%
B-O-E,5673,0.00568552%
B-O-F,5716,0.00572862%
B-O-G,5770,0.00578274%
B-O-H,5779,0.00579176%
B-O-I,5609,0.00562138%
B-O-J,5643,0.00565546%
B-O-K,5667,0.00567951%
B-O-L,5691,0.00570356%
B-O-M,5661,0.0056735%
B-O-N,5728,0.00574064%
B-O-O,5649,0.00566147%
B-O-P,5553,0.00556526%
B-O-Q,5691,0.00570356%
B-O-R,5522,0.00553419%
B-O-S,5656,0.00566848%
B-O-T,5711,0.00572361%
B-O-U,5726,0.00573864%
B-O-V,5762,0.00577472%
B-O-W,5663,0.0056755%
B-O-X,5756,0.00576871%
B-O-Y,5684,0.00569655%
B-O-Z,5625,0.00563742%
B-P-A,5718,0.00573062%
B-P-B,5636,0.00564844%
B-P-C,5730,0.00574265%
B-P-D,5748,0.00576069%
B-P-E,5594,0.00560635%
B-P-F,5767,0.00577973%
B-P-G,5650,0.00566247%
B-P-H,5668,0.00568051%
B-P-I,5668,0.00568051%
B-P-J,5509,0.00552116%
B-P-K,5709,0.0057216%
B-P-L,5620,0.00563241%
B-P-M,5665,0.0056775%
B-P-N,5759,0.00577171%
B-P-O,5739,0.00575167%
B-P-P,5642,0.00565445%
B-P-Q,5652,0.00566448%
B-P-R,5682,0.00569454%
B-P-S,5748,0.00576069%
B-P-T,5640,0.00565245%
B-P-U,5589,0.00560134%
B-P-V,5604,0.00561637%
B-P-W,5691,0.00570356%
B-P-X,5595,0.00560735%
B-P-Y,5706,0.00571859%
B-P-Z,5638,0.00565044%
B-Q-A,5647,0.00565946%
B-Q-B,5632,0.00564443%
B-Q-C,5813,0.00582583%
B-Q-D,5641,0.00565345%
B-Q-E,5725,0.00573764%
B-Q-F,5729,0.00574165%
B-Q-G,5605,0.00561737%
B-Q-H,5659,0.00567149%
B-Q-I,5751,0.00576369%
B-Q-J,5596,0.00560835%
B-Q-K,5660,0.00567249%
B-Q-L,5434,0.00544599%
B-Q-M,5544,0.00555624%
B-Q-N,5690,0.00570256%
B-Q-O,5797,0.0058098%
B-Q-P,5598,0.00561036%
B-Q-Q,5701,0.00571358%
B-Q-R,5571,0.0055833%
B-Q-S,5645,0.00565746%
B-Q-T,5622,0.00563441%
B-Q-U,5696,0.00570857%
B-Q-V,5686,0.00569855%
B-Q-W,5656,0.00566848%
B-Q-X,5736,0.00574866%
B-Q-Y,5643,0.00565546%
B-Q-Z,5686,0.00569855%
B-R-A,5674,0.00568652%
B-R-B,5634,0.00564644%
B-R-C,5536,0.00554822%
B-R-D,5636,0.00564844%
B-R-E,5619,0.0056314%
B-R-F,5654,0.00566648%
B-R-G,5616,0.0056284%
B-R-H,5820,0.00583285%
B-R-I,5721,0.00573363%
B-R-J,5757,0.00576971%
B-R-K,5785,0.00579777%
B-R-L,5785,0.00579777%
B-R-M,5641,0.00565345%
B-R-N,5672,0.00568452%
B-R-O,5540,0.00555223%
B-R-P,5554,0.00556626%
B-R-Q,5675,0.00568753%
B-R-R,5611,0.00562339%
B-R-S,5575,0.00558731%
B-R-T,5577,0.00558931%
B-R-U,5717,0.00572962%
B-R-V,5557,0.00556927%
B-R-W,5711,0.00572361%
B-R-X,5593,0.00560535%
B-R-Y,5596,0.00560835%
B-R-Z,5683,0.00569554%
B-S-A,5503,0.00551515%
B-S-B,5650,0.00566247%
B-S-C,5592,0.00560434%
B-S-D,5735,0.00574766%
B-S-E,5577,0.00558931%
B-S-F,5580,0.00559232%
B-S-G,5631,0.00564343%
B-S-H,5521,0.00553319%
B-S-I,5644,0.00565646%
B-S-J,5749,0.00576169%
B-S-K,5649,0.00566147%
B-S-L,5514,0.00552617%
B-S-M,5670,0.00568252%
B-S-N,5720,0.00573263%
B-S-O,5752,0.0057647%
B-S-P,5565,0.00557728%
B-S-Q,5702,0.00571459%
B-S-R,5801,0.0058138%
B-S-S,5779,0.00579176%
B-S-T,5810,0.00582282%
B-S-U,5703,0.00571559%
B-S-V,5633,0.00564543%
B-S-W,5635,0.00564744%
B-S-X,5744,0.00575668%
B-S-Y,5703,0.00571559%
B-S-Z,5526,0.0055382%
B-T-A,5703,0.00571559%
B-T-B,5561,0.00557327%
B-T-C,5633,0.00564543%
B-T-D,5687,0.00569955%
B-T-E,5655,0.00566748%
B-T-F,5806,0.00581882%
B-T-G,5591,0.00560334%
B-T-H,5713,0.00572561%
B-T-I,5770,0.00578274%
B-T-J,5689,0.00570156%
B-T-K,5751,0.00576369%
B-T-L,5750,0.00576269%
B-T-M,5682,0.00569454%
B-T-N,5626,0.00563842%
B-T-O,5587,0.00559933%
B-T-P,5660,0.00567249%
B-T-Q,5762,0.00577472%
B-T-R,5656,0.00566848%
B-T-S,5742,0.00575467%
B-T-T,5760,0.00577271%
B-T-U,5796,0.00580879%
B-T-V,5784,0.00579677%
B-T-W,5604,0.00561637%
B-T-X,5659,0.00567149%
B-T-Y,5539,0.00555123%
B-T-Z,5836,0.00584888%
B-U-A,5721,0.00573363%
B-U-B,5674,0.00568652%
B-U-C,5699,0.00571158%
B-U-D,5616,0.0056284%
B-U-E,5682,0.00569454%
B-U-F,5687,0.00569955%
B-U-G,5690,0.00570256%
B-U-H,5629,0.00564142%
B-U-I,5597,0.00560935%
B-U-J,5643,0.00565546%
B-U-K,5611,0.00562339%
B-U-L,5724,0.00573663%
B-U-M,5711,0.00572361%
B-U-N,5520,0.00553218%
B-U-O,5690,0.00570256%
B-U-P,5759,0.00577171%
B-U-Q,5753,0.0057657%
B-U-R,5547,0.00555924%
B-U-S,5690,0.00570256%
B-U-T,5651,0.00566347%
B-U-U,5535,0.00554722%
B-U-V,5698,0.00571058%
B-U-W,5639,0.00565145%
B-U-X,5692,0.00570456%
B-U-Y,5789,0.00580178%
B-U-Z,5703,0.00571559%
B-V-A,5605,0.00561737%
B-V-B,5723,0.00573563%
B-V-C,5639,0.00565145%
B-V-D,5724,0.00573663%
B-V-E,5601,0.00561336%
B-V-F,5763,0.00577572%
B-V-G,5560,0.00557227%
B-V-H,5802,0.00581481%
B-V-I,5715,0.00572761%
B-V-J,5649,0.00566147%
B-V-K,5647,0.00565946%
B-V-L,5645,0.00565746%
B-V-M,5676,0.00568853%
B-V-N,5646,0.00565846%
B-V-O,5747,0.00575969%
B-V-P,5652,0.00566448%
B-V-Q,5795,0.00580779%
B-V-R,5722,0.00573463%
B-V-S,5565,0.00557728%
B-V-T,5728,0.00574064%
B-V-U,5580,0.00559232%
B-V-V,5656,0.00566848%
B-V-W,5662,0.0056745%
B-V-X,5613,0.00562539%
B-V-Y,5718,0.00573062%
B-V-Z,5693,0.00570557%
B-W-A,5571,0.0055833%
B-W-B,5601,0.00561336%
B-W-C,5523,0.00553519%
B-W-D,5694,0.00570657%
B-W-E,5630,0.00564243%
B-W-F,5686,0.00569855%
B-W-G,5614,0.00562639%
B-W-H,5633,0.00564543%
B-W-I,5699,0.00571158%
B-W-J,5766,0.00577873%
B-W-K,5746,0.00575868%
B-W-L,5580,0.00559232%
B-W-M,5728,0.00574064%
B-W-N,5720,0.00573263%
B-W-O,5581,0.00559332%
B-W-P,5698,0.00571058%
B-W-Q,5710,0.0057226%
B-W-R,5665,0.0056775%
B-W-S,5675,0.00568753%
B-W-T,5740,0.00575267%
B-W-U,5701,0.00571358%
B-W-V,5735,0.00574766%
B-W-W,5715,0.00572761%
B-W-X,5793,0.00580579%
B-W-Y,5717,0.00572962%
B-W-Z,5758,0.00577071%
B-X-A,5795,0.00580779%
B-X-B,5733,0.00574565%
B-X-C,5607,0.00561938%
B-X-D,5714,0.00572661%
B-X-E,5651,0.00566347%
B-X-F,5729,0.00574165%
B-X-G,5635,0.00564744%
B-X-H,5646,0.00565846%
B-X-I,5696,0.00570857%
B-X-J,5562,0.00557428%
B-X-K,5459,0.00547105%
B-X-L,5688,0.00570056%
B-X-M,5769,0.00578173%
B-X-N,5636,0.00564844%
B-X-O,5565,0.00557728%
B-X-P,5597,0.00560935%
B-X-Q,5737,0.00574966%
B-X-R,5621,0.00563341%
B-X-S,5701,0.00571358%
B-X-T,5735,0.00574766%
B-X-U,5651,0.00566347%
B-X-V,5669,0.00568151%
B-X-W,5766,0.00577873%
B-X-X,5697,0.00570957%
B-X-Y,5702,0.00571459%
B-X-Z,5716,0.00572862%
B-Y-A,5799,0.0058118%
B-Y-B,5674,0.00568652%
B-Y-C,5677,0.00568953%
B-Y-D,5646,0.00565846%
B-Y-E,5746,0.00575868%
B-Y-F,5743,0.00575568%
B-Y-G,5689,0.00570156%
B-Y-H,5852,0.00586492%
B-Y-I,5653,0.00566548%
B-Y-J,5612,0.00562439%
B-Y-K,5582,0.00559432%
B-Y-L,5752,0.0057647%
B-Y-M,5805,0.00581781%
B-Y-N,5603,0.00561537%
B-Y-O,5684,0.00569655%
B-Y-P,5816,0.00582884%
B-Y-Q,5597,0.00560935%
B-Y-R,5637,0.00564944%
B-Y-S,5554,0.00556626%
B-Y-T,5628,0.00564042%
B-Y-U,5628,0.00564042%
B-Y-V,5766,0.00577873%
B-Y-W,5574,0.0055863%
B-Y-X,5695,0.00570757%
B-Y-Y,5777,0.00578975%
B-Y-Z,5759,0.00577171%
B-Z-A,5698,0.00571058%
B-Z-B,5797,0.0058098%
B-Z-C,5621,0.00563341%
B-Z-D,5613,0.00562539%
B-Z-E,5632,0.00564443%
B-Z-F,5696,0.00570857%
B-Z-G,5714,0.00572661%
B-Z-H,5633,0.00564543%
B-Z-I,5681,0.00569354%
B-Z-J,5697,0.00570957%
B-Z-K,5703,0.00571559%
B-Z-L,5622,0.00563441%
B-Z-M,5672,0.00568452%
B-Z-N,5731,0.00574365%
B-Z-O,5639,0.00565145%
B-Z-P,5730,0.00574265%
B-Z-Q,5651,0.00566347%
B-Z-R,5681,0.00569354%
B-Z-S,5751,0.00576369%
B-Z-T,5757,0.00576971%
B-Z-U,5628,0.00564042%
B-Z-V,5513,0.00552517%
B-Z-W,5626,0.00563842%
B-Z-X,5705,0.00571759%
B-Z-Y,5712,0.00572461%
B-Z-Z,5788,0.00580078%
C-A-A,5584,0.00559633%
C-A-B,5740,0.00575267%
C-A-C,5586,0.00559833%
C-A-D,5679,0.00569154%
C-A-E,5687,0.00569955%
C-A-F,5588,0.00560033%
C-A-G,5692,0.00570456%
C-A-H,5632,0.00564443%
C-A-I,5649,0.00566147%
C-A-J,5676,0.00568853%
C-A-K,5762,0.00577472%
C-A-L,5723,0.00573563%
C-A-M,5708,0.0057206%
C-A-N,5578,0.00559031%
C-A-O,5585,0.00559733%
C-A-P,5708,0.0057206%
C-A-Q,5593,0.00560535%
C-A-R,5651,0.00566347%
C-A-S,5611,0.00562339%
C-A-T,5703,0.00571559%
C-A-U,5733,0.00574565%
C-A-V,5721,0.00573363%
C-A-W,5694,0.00570657%
C-A-X,5644,0.00565646%
C-A-Y,5719,0.00573162%
C-A-Z,5718,0.00573062%
C-B-A,5678,0.00569053%
C-B-B,5800,0.0058128%
C-B-C,5674,0.00568652%
C-B-D,5696,0.00570857%
C-B-E,5692,0.00570456%
C-B-F,5642,0.00565445%
C-B-G,5691,0.00570356%
C-B-H,5668,0.00568051%
C-B-I,5613,0.00562539%
C-B-J,5806,0.00581882%
C-B-K,5722,0.00573463%
C-B-L,5618,0.0056304%
C-B-M,5687,0.00569955%
C-B-N,5672,0.00568452%
C-B-O,5593,0.00560535%
C-B-P,5598,0.00561036%
C-B-Q,5695,0.00570757%
C-B-R,5621,0.00563341%
C-B-S,5642,0.00565445%
C-B-T,5661,0.0056735%
C-B-U,5701,0.00571358%
C-B-V,5840,0.00585289%
C-B-W,5689,0.00570156%
C-B-X,5641,0.00565345%
C-B-Y,5747,0.00575969%
C-B-Z,5716,0.00572862%
C-C-A,5695,0.00570757%
C-C-B,5777,0.00578975%
C-C-C,5711,0.00572361%
C-C-D,5739,0.00575167%
C-C-E,5751,0.00576369%
C-C-F,5614,0.00562639%
C-C-G,5606,0.00561837%
C-C-H,5484,0.0054961%
C-C-I,5715,0.00572761%
C-C-J,5719,0.00573162%
C-C-K,5662,0.0056745%
C-C-L,5624,0.00563641%
C-C-M,5705,0.00571759%
C-C-N,5567,0.00557929%
C-C-O,5613,0.00562539%
C-C-P,5691,0.00570356%
C-C-Q,5760,0.00577271%
C-C-R,5740,0.00575267%
C-C-S,5660,0.00567249%
C-C-T,5636,0.00564844%
C-C-U,5637,0.00564944%
C-C-V,5778,0.00579075%
C-C-W,5651,0.00566347%
C-C-X,5635,0.00564744%
C-C-Y,5597,0.00560935%
C-C-Z,5686,0.00569855%
C-D-A,5639,0.00565145%
C-D-B,5734,0.00574666%
C-D-C,5616,0.0056284%
C-D-D,5711,0.00572361%
C-D-E,5727,0.00573964%
C-D-F,5578,0.00559031%
C-D-G,5804,0.00581681%
C-D-H,5581,0.00559332%
C-D-I,5708,0.0057206%
C-D-J,5673,0.00568552%
C-D-K,5722,0.00573463%
C-D-L,5705,0.00571759%
C-D-M,5697,0.00570957%
C-D-N,5672,0.00568452%
C-D-O,5664,0.0056765%
C-D-P,5674,0.00568652%
C-D-Q,5580,0.00559232%
C-D-R,5826,0.00583886%
C-D-S,5635,0.00564744%
C-D-T,5641,0.00565345%
C-D-U,5813,0.00582583%
C-D-V,5673,0.00568552%
C-D-W,5688,0.00570056%
C-D-X,5577,0.00558931%
C-D-Y,5730,0.00574265%
C-D-Z,5479,0.00549109%
C-E-A,5635,0.00564744%
C-E-B,5712,0.00572461%
C-E-C,5752,0.0057647%
C-E-D,5637,0.00564944%
C-E-E,5716,0.00572862%
C-E-F,5750,0.00576269%
C-E-G,5779,0.00579176%
C-E-H,5790,0.00580278%
C-E-I,5673,0.00568552%
C-E-J,5729,0.00574165%
C-E-K,5671,0.00568352%
C-E-L,5688,0.00570056%
C-E-M,5684,0.00569655%
C-E-N,5670,0.00568252%
C-E-O,5742,0.00575467%
C-E-P,5757,0.00576971%
C-E-Q,5723,0.00573563%
C-E-R,5711,0.00572361%
C-E-S,5655,0.00566748%
C-E-T,5690,0.00570256%
C-E-U,5692,0.00570456%
C-E-V,5697,0.00570957%
C-E-W,5565,0.00557728%
C-E-X,5759,0.00577171%
C-E-Y,5698,0.00571058%
C-E-Z,5662,0.0056745%
C-F-A,5680,0.00569254%
C-F-B,5626,0.00563842%
C-F-C,5675,0.00568753%
C-F-D,5826,0.00583886%
C-F-E,5591,0.00560334%
C-F-F,5765,0.00577773%
C-F-G,5630,0.00564243%
C-F-H,5621,0.00563341%
C-F-I,5686,0.00569855%
C-F-J,5566,0.00557829%
C-F-K,5700,0.00571258%
C-F-L,5561,0.00557327%
C-F-M,5679,0.00569154%
C-F-N,5751,0.00576369%
C-F-O,5810,0.00582282%
C-F-P,5742,0.00575467%
C-F-Q,5755,0.0057677%
C-F-R,5708,0.0057206%
C-F-S,5644,0.00565646%
C-F-T,5827,0.00583986%
C-F-U,5734,0.00574666%
C-F-V,5648,0.00566047%
C-F-W,5608,0.00562038%
C-F-X,5783,0.00579576%
C-F-Y,5641,0.00565345%
C-F-Z,5681,0.00569354%
C-G-A,5661,0.0056735%
C-G-B,5643,0.00565546%
C-G-C,5515,0.00552717%
C-G-D,5738,0.00575067%
C-G-E,5603,0.00561537%
C-G-F,5693,0.00570557%
C-G-G,5609,0.00562138%
C-G-H,5727,0.00573964%
C-G-I,5709,0.0057216%
C-G-J,5564,0.00557628%
C-G-K,5570,0.00558229%
C-G-L,5612,0.00562439%
C-G-M,5707,0.0057196%
C-G-N,5641,0.00565345%
C-G-O,5609,0.00562138%
C-G-P,5764,0.00577672%
C-G-Q,5794,0.00580679%
C-G-R,5807,0.00581982%
C-G-S,5698,0.00571058%
C-G-T,5640,0.00565245%
C-G-U,5636,0.00564844%
C-G-V,5628,0.00564042%
C-G-W,5658,0.00567049%
C-G-X,5625,0.00563742%
C-G-Y,5635,0.00564744%
C-G-Z,5653,0.00566548%
C-H-A,5697,0.00570957%
C-H-B,5708,0.0057206%
C-H-C,5726,0.00573864%
C-H-D,5746,0.00575868%
C-H-E,5654,0.00566648%
C-H-F,5717,0.00572962%
C-H-G,5597,0.00560935%
C-H-H,5673,0.00568552%
C-H-I,5746,0.00575868%
C-H-J,5626,0.00563842%
C-H-K,5668,0.00568051%
C-H-L,5644,0.00565646%
C-H-M,5746,0.00575868%
C-H-N,5676,0.00568853%
C-H-O,5583,0.00559532%
C-H-P,5527,0.0055392%
C-H-Q,5669,0.00568151%
C-H-R,5840,0.00585289%
C-H-S,5640,0.00565245%
C-H-T,5698,0.00571058%
C-H-U,5717,0.00572962%
C-H-V,5669,0.00568151%
C-H-W,5677,0.00568953%
C-H-X,5596,0.00560835%
C-H-Y,5712,0.00572461%
C-H-Z,5761,0.00577372%
C-I-A,5615,0.00562739%
C-I-B,5748,0.00576069%
C-I-C,5774,0.00578674%
C-I-D,5721,0.00573363%
C-I-E,5635,0.00564744%
C-I-F,5590,0.00560234%
C-I-G,5642,0.00565445%
C-I-H,5701,0.00571358%
C-I-I,5737,0.00574966%
C-I-J,5688,0.00570056%
C-I-K,5691,0.00570356%
C-I-L,5772,0.00578474%
C-I-M,5735,0.00574766%
C-I-N,5861,0.00587394%
C-I-O,5695,0.00570757%
C-I-P,5600,0.00561236%
C-I-Q,5712,0.00572461%
C-I-R,5615,0.00562739%
C-I-S,5659,0.00567149%
C-I-T,5711,0.00572361%
C-I-U,5559,0.00557127%
C-I-V,5597,0.00560935%
C-I-W,5612,0.00562439%
C-I-X,5796,0.00580879%
C-I-Y,5771,0.00578374%
C-I-Z,5834,0.00584688%
C-J-A,5690,0.00570256%
C-J-B,5749,0.00576169%
C-J-C,5713,0.00572561%
C-J-D,5742,0.00575467%
C-J-E,5672,0.00568452%
C-J-F,5607,0.00561938%
C-J-G,5754,0.0057667%
C-J-H,5684,0.00569655%
C-J-I,5713,0.00572561%
C-J-J,5684,0.00569655%
C-J-K,5636,0.00564844%
C-J-L,5673,0.00568552%
C-J-M,5609,0.00562138%
C-J-N,5694,0.00570657%
C-J-O,5675,0.00568753%
C-J-P,5756,0.00576871%
C-J-Q,5682,0.00569454%
C-J-R,5728,0.00574064%
C-J-S,5708,0.0057206%
C-J-T,5565,0.00557728%
C-J-U,5663,0.0056755%
C-J-V,5637,0.00564944%
C-J-W,5586,0.00559833%
C-J-X,5673,0.00568552%
C-J-Y,5708,0.0057206%
C-J-Z,5767,0.00577973%
C-K-A,5591,0.00560334%
C-K-B,5683,0.00569554%
C-K-C,5873,0.00588596%
C-K-D,5668,0.00568051%
C-K-E,5647,0.00565946%
C-K-F,5622,0.00563441%
C-K-G,5680,0.00569254%
C-K-H,5599,0.00561136%
C-K-I,5514,0.00552617%
C-K-J,5571,0.0055833%
C-K-K,5535,0.00554722%
C-K-L,5602,0.00561437%
C-K-M,5628,0.00564042%
C-K-N,5774,0.00578674%
C-K-O,5625,0.00563742%
C-K-P,5629,0.00564142%
C-K-Q,5742,0.00575467%
C-K-R,5636,0.00564844%
C-K-S,5748,0.00576069%
C-K-T,5596,0.00560835%
C-K-U,5725,0.00573764%
C-K-V,5592,0.00560434%
C-K-W,5519,0.00553118%
C-K-X,5684,0.00569655%
C-K-Y,5700,0.00571258%
C-K-Z,5492,0.00550412%
C-L-A,5749,0.00576169%
C-L-B,5728,0.00574064%
C-L-C,5607,0.00561938%
C-L-D,5684,0.00569655%
C-L-E,5712,0.00572461%
C-L-F,5789,0.00580178%
C-L-G,5734,0.00574666%
C-L-H,5779,0.00579176%
C-L-I,5627,0.00563942%
C-L-J,5655,0.00566748%
C-L-K,5749,0.00576169%
C-L-L,5800,0.0058128%
C-L-M,5715,0.00572761%
C-L-N,5654,0.00566648%
C-L-O,5650,0.00566247%
C-L-P,5715,0.00572761%
C-L-Q,5615,0.00562739%
C-L-R,5614,0.00562639%
C-L-S,5650,0.00566247%
C-L-T,5790,0.00580278%
C-L-U,5566,0.00557829%
C-L-V,5638,0.00565044%
C-L-W,5611,0.00562339%
C-L-X,5601,0.00561336%
C-L-Y,5616,0.0056284%
C-L-Z,5655,0.00566748%
C-M-A,5630,0.00564243%
C-M-B,5559,0.00557127%
C-M-C,5624,0.00563641%
C-M-D,5694,0.00570657%
C-M-E,5598,0.00561036%
C-M-F,5620,0.00563241%
C-M-G,5811,0.00582383%
C-M-H,5740,0.00575267%
C-M-I,5696,0.00570857%
C-M-J,5791,0.00580378%
C-M-K,5773,0.00578574%
C-M-L,5632,0.00564443%
C-M-M,5576,0.00558831%
C-M-N,5717,0.00572962%
C-M-O,5718,0.00573062%
C-M-P,5684,0.00569655%
C-M-Q,5708,0.0057206%
C-M-R,5720,0.00573263%
C-M-S,5643,0.00565546%
C-M-T,5641,0.00565345%
C-M-U,5675,0.00568753%
C-M-V,5502,0.00551414%
C-M-W,5834,0.00584688%
C-M-X,5745,0.00575768%
C-M-Y,5645,0.00565746%
C-M-Z,5696,0.00570857%
C-N-A,5791,0.00580378%
C-N-B,5614,0.00562639%
C-N-C,5713,0.00572561%
C-N-D,5636,0.00564844%
C-N-E,5808,0.00582082%
C-N-F,5702,0.00571459%
C-N-G,5693,0.00570557%
C-N-H,5649,0.00566147%
C-N-I,5628,0.00564042%
C-N-J,5790,0.00580278%
C-N-K,5690,0.00570256%
C-N-L,5827,0.00583986%
C-N-M,5705,0.00571759%
C-N-N,5636,0.00564844%
C-N-O,5666,0.00567851%
C-N-P,5608,0.00562038%
C-N-Q,5579,0.00559131%
C-N-R,5799,0.0058118%
C-N-S,5699,0.00571158%
C-N-T,5592,0.00560434%
C-N-U,5791,0.00580378%
C-N-V,5615,0.00562739%
